article,name,birth,death,nationality,notable_20th_century_works,comment,era
Beatrice_Ohanessian,Beatrice Ohanessian,1927,2008,Armenian-Iraqi,,Iraq's first female composer.,20th-century classical
Haig_Mardirosian,Haig Mardirosian,1947,,Armenian-American,,,20th-century classical
Haig_Gudenian,Haig Gudenian,1885,1972,Armenian-American,,,20th-century classical
Nikoghayos_Tigranian,Nikoghayos Tigranian,1856,1951,Armenian,,,20th-century classical
William_Weiner,William Weiner,1955,,Armenian-Israeli,,,20th-century classical
Grigor_Yeghiazaryan,Grigor Yeghiazaryan,1908,1988,Armenian,,,20th-century classical
Mikael_Tariverdiev,Mikael Tariverdiev,1931,1996,Armenian,,,20th-century classical
Vardan_Sardaryan,Vardan Sardaryan,1962,,Armenian,,,20th-century classical
Stepan_Rostomyan,Stepan Rostomyan,1956,,Armenian,,,20th-century classical
Michel_Petrossian,Michel Petrossian,1973,,Armenian-French,,Petrossian won the 2012 Queen Elisabeth Prize for Composition.,20th-century classical
Konstantin_Petrossian,Konstantin Petrossian,1946,,Armenian,,,20th-century classical
Stepan_Papelyan,Stepan Papelyan,1875,1960,Armenian,,,20th-century classical
Vazgen_Muradian,Vazgen Muradian,1921,2018,Armenian-American,,,20th-century classical
Hrachya_Melikyan,Hrachya Melikyan,1947,2006,Armenian,,,20th-century classical
Rita_Kassabian,Rita Kassabian,1976,,Armenian,,,20th-century classical
Andrey_Kasparov,Andrey Kasparov,1966,,Armenian-American,,,20th-century classical
Harutyun_Hanesyan,Harutyun Hanesyan,1911,1987,Armenian,,,20th-century classical
Eduard_Hayrapetyan,Eduard Hayrapetyan,1949,,Armenian,,,20th-century classical
Gagik_Hovunts,Gagik Hovunts,1930,2019,Armenian,,,20th-century classical
Ohan_Durian,Ohan Durian,1922,2011,Armenian,,,20th-century classical
Loris_Ohannes_Chobanian,Loris Ohannes Chobanian,1933,,Armenian,,,20th-century classical
Sergey_Balasanian,Sergey Balasanian,1902,1982,Armenian,He wrote the first Tajik opera – The Uprising at Vosse (first staged in 1939).,,20th-century classical
Edvard_Baghdasaryan,Edvard Baghdasaryan,1922,1987,Armenian,,,20th-century classical
Vahram_Babayan,Vahram Babayan,1948,,Armenian,,,20th-century classical
Edward_Manukyan,Edward Manukyan,1981,,Armenian,,,20th-century classical
Robert_Amirkhanyan,Robert Amirkhanyan,1939,,Armenian,Lenin Komsomol Prize (1980) for 1978-1979 song cycles,,20th-century classical
Hampartzoum_Berberian,Hampartzoum Berberian,1905,1999,Armenian,,,20th-century classical
Ruben_Sargsyan,Ruben Sargsyan,1945,2013,Armenian,,,20th-century classical
Vartan_Adjemian,Vartan Adjemian,1956,,Armenian,,,20th-century classical
