article,name,birth,death,nationality,notable_21_century_works,era
Cassandra_Miller,Cassandra Miller,1976,,Canadian,About Bach (string quartet),21st-century classical
Caio_Facó,Caio Facó,1992,,Brazilian,Diário das Narrativas Fantásticas: Uma fantasia sobre a história da América do Sul (for chamber orchestra)[1],21st-century classical
Rolf_Riehm,Rolf Riehm,1937,,German,Sirenen (opera),21st-century classical
Hiro_Fujikake,Hiro Fujikake,1949,,Japanese,"Pastoral Fantasy (1975),The Rope Crest (1977), Symphony Japan(1993), Symphony IZUMO(2005)",21st-century classical
Ann_Cleare,Ann Cleare,1983,,Irish,Claustrophobia (orchestra),21st-century classical
Sarah_Hutchings,Sarah Hutchings,1984,,American,,21st-century classical
Peter_Seabourne,Peter Seabourne,1960,,English,Steps piano cycle series – 6 volumes,21st-century classical
Eric_Salzman,Eric Salzman,1933,2017,American,The True Last Words of Dutch Schultz (opera),21st-century classical
Johannes_Kreidler,Johannes Kreidler,1980,,German,Fremdarbeit,21st-century classical
Jóhann_Jóhannsson,Jóhann Jóhannsson,1969,2018,Icelandic,And in the Endless Pause There Came the Sound of Bees,21st-century classical
Otomar_Kvěch,Otomar Kvěch,1950,2018,Czech,String Quartet No. 7,21st-century classical
Jonathan_Elliott,Jonathan Elliott,1962,,American,,21st-century classical
Milko_Kelemen,Milko Kelemen,1924,2018,Croatian,Tromberia for Trumpet and Orchestra,21st-century classical
Scott_Perkins,Scott Perkins,1980,,American,The Stolen Child,21st-century classical
Graciela_Agudelo,Graciela Agudelo,1945,2018,Mexican,,21st-century classical
Michel_van_der_Aa,Michel van der Aa,1970,,Dutch,Up-Close; the Here trilogy,21st-century classical
Nguyen-Thien_Dao,Nguyen-Thien Dao,1940,2015,Vietnamese-French,,21st-century classical
Britta_Byström,Britta Byström,1977,,Swedish,Der Vogel der Nacht; Picnic at Hanging Rock; A Walk After Dark,21st-century classical
John_Buckley_(composer),John Buckley,1951,,Irish,,21st-century classical
Graham_Reynolds_(composer),Graham Reynolds,1971,,American,,21st-century classical
Jan_Randall,Jan Randall,1952,,Canadian,Midsummer Night's Ice Dream;Pieces of Eight; Sonata for Piano,21st-century classical
Shaul_Bustan,Shaul Bustan,1983,,Israeli,,21st-century classical
Thomas_Kotcheff,Thomas Kotcheff,1988,,American,,21st-century classical
Andrew_M._Boss,Andrew M. Boss,1988,,American,Tetelestai; Alto Saxophone Concerto,21st-century classical
Natalie_Draper,Natalie Draper,1985,,American,Decadent Music Box; Timelapse Variations,21st-century classical
Martha_Callison_Horst,Martha Callison Horst,1969,,American,Straussian Landscapes;  Three Meditations on Van Gogh,21st-century classical
David_Chesky,David Chesky,1956,,American,The Mice War (opera); The Venetian Concertos,21st-century classical
Dinos_Constantinides,Dinos Constantinides,1929,,Greek-American,,21st-century classical
Fred_Momotenko,Fred Momotenko,1970,,Russian Dutch,,21st-century classical
Dario_Palermo,Dario Palermo,1970,,Italian,Discombobulator; The Difference Engine,21st-century classical
Phil_Nyokai_James,Phil Nyokai James,1954,,American,,21st-century classical
Remilson_Nery,Remilson Nery,1961,,Brazilian,,21st-century classical
Robert_Leaf,Robert Leaf,1936,2005,American,,21st-century classical
Solhi_al-Wadi,Solhi al-Wadi,1934,2007,Iraqi-Syrian,,21st-century classical
