article,name,birth,death,era
Giacomo Antonio Perti,Giacomo Antonio Perti,1661,1756,Classical-era
Nicolas Siret,Nicolas Siret,1663,1754,Classical-era
Michele Mascitti,Michele Mascitti,1664,1760,Classical-era
Jean-Féry Rebel,Jean-Féry Rebel,1666,1747,Classical-era
Michel Pignolet de Montéclair,Michel Pignolet de Montéclair,1667,1737,Classical-era
Johann Christoph Pepusch,Johann Christoph Pepusch,1667,1752,Classical-era
Johann Nicolaus Bach,Johann Nicolaus Bach,1669,1753,Classical-era
Giuseppe Avitrano,Giuseppe Avitrano,1670,1756,Classical-era
Louis de Caix d'Hervelois,Louis de Caix d'Hervelois,1670,1760,Classical-era
Richard Leveridge,Richard Leveridge,1670,1758,Classical-era
Georg Caspar Schürmann,Georg Caspar Schürmann,1672/1673,1751,Classical-era
Alessandro Marcello,Alessandro Marcello,1673,1747,Classical-era
Pierre Dumage,Pierre Dumage,1674,1751,Classical-era
Jacques-Martin Hotteterre,Jacques-Martin Hotteterre,1674,1763,Classical-era
Giovanni Porta,Giovanni Porta,1675,1755,Classical-era
Giacomo Facco,Giacomo Facco,1676,1753,Classical-era
Wolff Jakob Lauffensteiner,Wolff Jakob Lauffensteiner,1676,1754,Classical-era
Giuseppe Maria Orlandini,Giuseppe Maria Orlandini,1676,1760,Classical-era
Giovanni Carlo Maria Clari,Giovanni Carlo Maria Clari,1677,1754,Classical-era
Ferdinando Antonio Lazzari,Ferdinando Antonio Lazzari,1678,1754,Classical-era
Manuel de Zumaya,Manuel de Zumaya,1678,1755,Classical-era
Jean-Baptiste Stuck,Jean-Baptiste Stuck,1680,1755,Classical-era
Johann Mattheson,Johann Mattheson,1681,1764,Classical-era
Giuseppe Valentini,Giuseppe Valentini,1681,1753,Classical-era
Paolo Benedetto Bellinzani,Paolo Benedetto Bellinzani,1682,1757,Classical-era
Giacobbe Cervetto,Giacobbe Cervetto,1682,1783,Classical-era
Pietro Baldassare,Pietro Baldassare,1683,after 1768,Classical-era
Christoph Graupner,Christoph Graupner,1683,1760,Classical-era
François d'Agincourt,François d'Agincourt,1684,1758,Classical-era
François Bouvard,François Bouvard,1684,1760,Classical-era
Francesco Durante,Francesco Durante,1684,1755,Classical-era
Francesco Manfredini,Francesco Manfredini,1684,1762,Classical-era
Johann Theodor Roemhildt,Johann Theodor Roemhildt,1684,1756,Classical-era
Giuseppe Matteo Alberti,Giuseppe Matteo Alberti,1685,1751,Classical-era
Louis-Antoine Dornel,Louis-Antoine Dornel,1685,1765,Classical-era
Giovanni Battista Somis,Giovanni Battista Somis,1686,1763,Classical-era
