article,name,birth,death,nationality,era,flag,flag_reason
Ábrahám Pál,Ábrahám Pál,1892,1960,Hungarian,,,
Ábrányi Emil (zeneszerző),Ábrányi Emil,1882,1970,Hungarian,,,
Ábrányi Kornél (zeneszerző),Ábrányi Kornél,1822,1903,Hungarian,,,
Ács Enikő,Ács Enikő,1953,,Hungarian,,,
Ádám Jenő (zeneszerző),Ádám Jenő,1896,1982,Hungarian,,,
Adelburg Ágost,Adelburg Ágost,1830,1873,Hungarian,,,
Adler György,Adler György,1789,1862,Hungarian,,,
Adler Ignác,Adler Ignác,1851,after 1871,Hungarian,,pop,Kategória:Magyar dalszerzők
Adler Vince,Adler Vince,1826,1871,Hungarian,,,
Adorján Jenő (hegedűművész),Adorján Jenő,1874,1903,Hungarian,,,
Ág Tibor,Ág Tibor,1928,2013,Hungarian,,,
Aggházy Károly,Aggházy Károly,1855,1918,Hungarian,,,
Agócsi János,Agócsi János,1961,,Hungarian,,not_found,
,Ajtony Csaba,1976,,Hungarian,,no_article,
Albert György,Albert György,1944,,Hungarian,,not_found,
Allaga Géza,Allaga Géza,1841,1913,Hungarian,,pop,"Kategória:Öngyilkos zenészek, énekesek"
Altschul Rudolf,Altschul Rudolf,1842,after 1911,Hungarian,,not_found,
Ambarus Géza,Ambarus Géza,1901,1970,Hungarian,,,
Amtmann Prosper,Amtmann Prosper,1809,1854,Hungarian,,,
Andorka Péter (zeneszerző),Andorka Péter,1987,,Hungarian,,,
Andrási Ede,Andrási Ede,1887,1953,Hungarian,,pop,Kategória:Magyar dalszerzők
Anhalt István,Anhalt István,1919,2012,Hungarian,,,
Antalffy-Zsiross Dezső,Antalffy-Zsiross Dezső,1885,1945,Hungarian,,,
Antos Kálmán,Antos Kálmán,1902,1985,Hungarian,,,
Antos Károly,Antos Károly,1854,1927,Hungarian,,,
Arany János (költő),Arany János,1817,1882,Hungarian,,,
Arányi-Aschner György,Arányi-Aschner György,1923,,Hungarian,,not_found,
Arató István (zeneszerző),Arató István,1910,1980,Hungarian,,,
Arma Paul,Arma Paul,1905,1987,Hungarian,,,
Arnold György,Arnold György,1781,1848,Hungarian,,,
Asbóth Wilhelm,Asbóth Wilhelm,1821,1877,Hungarian,,not_found,
Aszódy Ferenc,Aszódy Ferenc,1929,2005,Hungarian,,,
Au Alajos,Au Alajos,1837,1895,Hungarian,,,
Auer Lipót,Auer Lipót,1845,1930,Hungarian,,,
Bacsó Kristóf,Bacsó Kristóf,1976,,Hungarian,,not_found,
Bachó István,Bachó István,1858,1915,Hungarian,,,
Bachrich Zsigmond,Bachrich Zsigmond,1841,1913,Hungarian,,,
Bágya András,Bágya András,1911,1992,Hungarian,,,
Bakfark Bálint,Bakfark Bálint,1507,1576,Hungarian,,,
Bakody Lajos,Bakody Lajos,1833,1902,Hungarian,,not_found,
Balassa Sándor,Balassa Sándor,1935,,Hungarian,,,
,Balatoni Sándor,1983,,Hungarian,,no_article,
Balázs Árpád (dalköltő),Balázs Árpád,1874,1941,Hungarian,,pop,Kategória:Magyar dalszerzők
Balázs Árpád (zeneszerző),Balázs Árpád,1937,,Hungarian,,,
Bali János (fuvolaművész),Bali János,1963,,Hungarian,,,
Balogh Máté,Balogh Máté,1990,,Hungarian,,,
Bánffy György (politikus),Bánffy György,1853,1889,Hungarian,,,
Bánfi Sándor,Bánfi Sándor,1846,1890,Hungarian,,,
Bánkövi Gyula,Bánkövi Gyula,1966,,Hungarian,,,
Baráth Bálint,Baráth Bálint,1983,,Hungarian,,,
Baráti György,Baráti György,1913,1996,Hungarian,,not_found,
Bárdos Lajos,Bárdos Lajos,1899,1986,Hungarian,,,
Barta Alfonz,Barta Alfonz,1957,,Hungarian,,,
Barta János (zeneszerző),Barta János,c. 1794,1874,Hungarian,,,
Bartalus István,Bartalus István,1821,1899,Hungarian,,,
Bartay Endre,Bartay András,1799,1854,Hungarian,,,
Bartay Ede,Bartay Ede,1825,1901,Hungarian,,,
Bartók Béla (zeneszerző),Bartók Béla,1881,1945,Hungarian,,,
Bartók György (zeneszerző),Bartók György,1975,,Hungarian,,not_found,
Bátor Szidor,Bátor Szidor,1860,1929,Hungarian,,,
Bauer Henrik,Bauer Henrik,1849,,Hungarian,,,
Bauer Jakab,Bauer Jakab,1852,1926,Hungarian,,,
Beamter Jenő,Beamter Jenő,1912,1984,Hungarian,,,
Behár György,Behár György,1914,1995,Hungarian,,,
Beischer-Matyó Tamás,Beischer-Matyó Tamás,1972,,Hungarian,,not_found,
Behm József,Behm József,1815,1885,Hungarian,,not_found,
Békefi Antal (zeneszerző),Békefi Antal,1926,1982,Hungarian,,,
Beliczay Gyula,Beliczay Gyula,1835,1893,Hungarian,,,
Bella Ján Levoslav,Bella Ján Levoslav,1843,1936,Hungarian,,not_found,
Bella Máté,Bella Máté,1985,,Hungarian,,,
Benkő Henrik,Benkő Henrik,1858,1918,Hungarian,,,
Benkő László (zenész),Benkő László,1943,2020,Hungarian,,,
Bengraf József,Bengraf József,1745,1791,Hungarian,Classical-era,,
Beretvás Hugó,Beretvás Hugó,1872,1940,Hungarian,,,
Bergendy István,Bergendy István,1939,2020,Hungarian,,pop,Kategória:Magyar dzsesszzenészek
Berkes Gábor,Berkes Gábor,1962,,Hungarian,,,
Berkesi Sándor,Berkesi Sándor,1944,,Hungarian,,,
Berki Tamás,Berki Tamás,1946,,Hungarian,,pop,Kategória:Magyar dzsesszénekesek
Berta István Angel,Berta István Angel,,,Hungarian,,not_found,
Berté Henrik,Berté Henrik,1857,1924,Hungarian,,,
