name,link,language,author
Ádám Jenő,https://lfze.hu/nagy-elodok/adam-jeno-1766,hu,Rákai Zsuzsanna
Balassa Sándor,https://lfze.hu/nagy-elodok/balassa-sandor-1864,hu,Berlász Melinda
Bárdos Lajos,https://lfze.hu/nagy-elodok/bardos-lajos-159,hu,Komlós Katalin
Bartók Béla,https://lfze.hu/nagy-elodok/bartok-bela-1861,hu,Vikárius László
Beliczay Gyula,https://lfze.hu/nagy-elodok/beliczay-gyula-1860,hu,Csanda Mária
Bozay Attila,https://lfze.hu/nagy-elodok/bozay-attila-1605,hu,Berlász Melinda
Dávid Gyula,https://lfze.hu/nagy-elodok/david-gyula-1853,hu,Csanda Mária
Dohnányi Ernő,https://lfze.hu/nagy-elodok/dohnanyi-erno-1851,hu,Szitha Tünde
Doráti Antal,https://lfze.hu/nagy-elodok/dorati-antal-1850,hu,Péteri Judit
Durkó Zsolt,https://lfze.hu/nagy-elodok/durko-zsolt-1848,hu,Gerencsér Rita
Eötvös Péter,https://lfze.hu/nagy-elodok/eotvos-peter-1847,hu,Halász Péter
Erkel Ferenc,https://lfze.hu/nagy-elodok/erkel-ferenc-1845,hu,Csanda Mária
Farkas Ferenc,https://lfze.hu/nagy-elodok/farkas-ferenc-1842,hu,Gombos László
Gárdonyi Zoltán,https://lfze.hu/nagy-elodok/gardonyi-zoltan-1831,hu,Richter Pál
Gobbi Henrik,https://lfze.hu/nagy-elodok/gobbi-henrik-1826,hu,Csanda Mária
Herzfeld Viktor,https://lfze.hu/nagy-elodok/herzfeld-viktor-1814,hu,Csanda Mária
Horusitzky Zoltán,https://lfze.hu/nagy-elodok/horusitzky-zoltan-1812,hu,Mikusi Balázs
id. Ábrányi Kornél,https://lfze.hu/nagy-elodok/id-abranyi-kornel-1930,hu,Csanda Mária
Jacobi Viktor,https://lfze.hu/nagy-elodok/jacobi-viktor-1807,hu,Batta András
Járdányi Pál,https://lfze.hu/nagy-elodok/jardanyi-pal-1804,hu,Berlász Melinda
Kadosa Pál,https://lfze.hu/nagy-elodok/kadosa-pal-1801,hu,Csanda Mária
Kálmán Imre,https://lfze.hu/nagy-elodok/kalman-imre-1802,hu,Tamás Katalin
Kocsis Zoltán,https://lfze.hu/nagy-elodok/kocsis-zoltan-158,hu,Csengery Kristóf
Kodály Zoltán,https://lfze.hu/nagy-elodok/kodaly-zoltan-1794,hu,Dalos Anna
"Koessler, Hans",https://lfze.hu/nagy-elodok/koessler-hans-316,hu,Csanda Mária
Kókai Rezső,https://lfze.hu/nagy-elodok/kokai-rezso-1793,hu,Csanda Mária
Kósa György,https://lfze.hu/nagy-elodok/kosa-gyorgy-1791,hu,Dalos Anna
Kurtág György,https://lfze.hu/nagy-elodok/kurtag-gyorgy-1786,hu,Halász Péter
Lajtha László,https://lfze.hu/nagy-elodok/lajtha-laszlo-1785,hu,Berlász Melinda
Lehotka Gábor,https://lfze.hu/nagy-elodok/lehotka-gabor-1784,hu,Szirányi Gábor
Lendvay Kamilló,https://lfze.hu/nagy-elodok/lendvay-kamillo-1782,hu,Breuer János
Maros Rudolf,https://lfze.hu/nagy-elodok/maros-rudolf-1775,hu,Papp Márta
Meszlényi (Kraus) Róbert,https://lfze.hu/nagy-elodok/meszlenyi-kraus-robert-1771,hu,Csanda Mária
Mihály András,https://lfze.hu/nagy-elodok/mihaly-andras-1770,hu,Retkes Attila
Nagy Olivér,https://lfze.hu/nagy-elodok/nagy-oliver-1767,hu,Csanda Mária
Országh Tivadar,https://lfze.hu/nagy-elodok/orszagh-tivadar-1758,hu,
Pártos Ödön,https://lfze.hu/nagy-elodok/partos-odon-162,hu,Berlász Melinda
Petrovics Emil,https://lfze.hu/nagy-elodok/petrovics-emil-1750,hu,Csanda Mária
Pongrácz Zoltán,https://lfze.hu/nagy-elodok/pongracz-zoltan-1748,hu,Csanda Mária
Seiber Mátyás,https://lfze.hu/nagy-elodok/seiber-matyas-1728,hu,Kovács Soma
Serly Tibor,https://lfze.hu/nagy-elodok/serly-tibor-1727,hu,Szitha Tünde
Siklós Albert,https://lfze.hu/nagy-elodok/siklos-albert-1726,hu,Gombos László
Soproni József,https://lfze.hu/nagy-elodok/soproni-jozsef-1677,hu,
Szervánszky Endre,https://lfze.hu/nagy-elodok/szervanszky-endre-1713,hu,Farkas Zoltán
Szirmai Albert,https://lfze.hu/nagy-elodok/szirmai-albert-1711,hu,Batta András
Szokolay Sándor,https://lfze.hu/nagy-elodok/szokolay-sandor-1680,hu,Gombos László
Szőllősy András,https://lfze.hu/nagy-elodok/szollosy-andras-1709,hu,Kárpáti János
Szőnyi Erzsébet,https://lfze.hu/nagy-elodok/szonyi-erzsebet-1708,hu,Ittzés Mihály
Veress Sándor,https://lfze.hu/nagy-elodok/veress-sandor-1696,hu,Berlász Melinda
"Volkmann, Robert",https://lfze.hu/nagy-elodok/volkmann-robert-160,hu,Csanda Mária
Weiner Leó,https://lfze.hu/nagy-elodok/weiner-leo-1692,hu,Berlász Melinda
Harmat Artúr,https://lfze.hu/nagy-elodok/harmat-artur-1819,hu,Tamás Katalin
Hubay Jenő,https://lfze.hu/nagy-elodok/hubay-jeno-1609,hu,Csanda Mária
Ligeti György,https://lfze.hu/nagy-elodok/ligeti-gyorgy-1780,hu,Halász Péter
Mihalovich Ödön,https://lfze.hu/nagy-elodok/mihalovich-odon-1679,hu,Szirányi Gábor
Nyíregyházi Ervin,https://lfze.hu/nagy-elodok/nyiregyhazi-ervin-1761,hu,Berlász Melinda
