name,is_composer,birth_date,birth_place,death_date,death_place,url
Adamowski Jan,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/a/adamowski-jan-en
Ajdinović Jacek,true,1st March 1985,Cracow,,,https://polmic.pl/en/encyclopedia/subject-entries/a/ajdinovic-jacek-wiktor-en
Akiki Bassem,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/a/akiki-bassem-en
Anbild (Strzempa) Karol,true,16th February 1925,Katowice,1st March 2008,Kielce,https://polmic.pl/en/encyclopedia/subject-entries/a/anbild-strzempa-karol-en
Anderszewski Piotr,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/a/anderszewski-piotr-en
Andruszczenko Oliwier,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/a/andruszczenko-oliwier-en
Andrysek Marek,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/a/andrysek-marek-en
Aniołkiewicz Czesław,true,22nd January 1905,Wierzchy,7th April 1973,Łódź,https://polmic.pl/en/encyclopedia/subject-entries/a/aniolkiewicz-czeslaw-en
Araszkiewicz Franciszek,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/a/araszkiewicz-franciszek-en
Armanowska Małgorzata,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/a/armanowska-malgorzata-en
Armatys-Borrelli Anna,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/a/armatys-borrelli-anna-en
Arnhold Katarzyna,true,4th August 1968,Opole,,,https://polmic.pl/en/encyclopedia/subject-entries/a/arnhold-katarzyna-en
Arnold Tomasz,true,18th May 1990,Cracow,,,https://polmic.pl/en/encyclopedia/subject-entries/a/arnold-tomasz-en
Artysz Jerzy,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/a/artysz-jerzy-en
Astriab Jan,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/a/astriab-jan-en
Augustyn Danuta,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/a/augustyn-danuta-en
Augustyn Kinga,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/a/augustyn-kinga-en
Augustyn Rafał,true,"Aug. 28, 1951",Wrocław,,,https://polmic.pl/en/encyclopedia/subject-entries/a/augustyn-rafal-en
Bacewicz Grażyna,true,5th February 1909,Łódź,17th January 1969,Warsaw,https://polmic.pl/en/encyclopedia/subject-entries/b/bacewicz-grazyna-en
Bacewicz Kiejstut,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bacewicz-kiejstut-en
Bachowska Monika,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bachowska-monika-en
Baculewski Krzysztof,true,26th December 1950,Warsaw,,,https://polmic.pl/en/encyclopedia/subject-entries/b/baculewski-krzysztof-en
Baczewska Magdalena,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/baczewska-magdalena-en
Bączyk Maciej,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/baczyk-maciej-en
Baczyńska-Kissas Dagny,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/baczynska-kissas-dagny-en
Bagiński Zbigniew,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/baginski-zbigniew-en
Baird Tadeusz,true,26th July 1928,Grodzisk Mazowiecki,2nd September 1981,Warsaw,https://polmic.pl/en/encyclopedia/subject-entries/b/baird-tadeusz-en
Bajerski Tomasz,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bajerski-tomasz-en
Baklarz Elżbieta,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/baklarz-elzbieta-en
Bąkowski Krzysztof,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bakowski-krzysztof-en
Bakst Ryszard,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bakst-ryszard-en
Bałaban Lech,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/balaban-lech-en
Balcerzak Hanna,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/balcerzak-hanna-en
Bałdych Adam,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/baldych-adam-en
Bałenkowski Maciej,true,18th October 1993,Radom,,,https://polmic.pl/en/encyclopedia/subject-entries/b/balenkowski-maciej-en
Baliszewska Maria,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/baliszewska-maria-en
Banasik Marcin Filip,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/banasik-marcin-filip-en
Banasik Piotr,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/banasik-piotr-en
Banaszak Adam,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/banaszak-adam-en
Bancer Teresa,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bancer-teresa-en
Bandrowska-Turska Ewa,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bandrowska-turska-ewa-en
Bańka Piotr,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/banka-piotr-en
Baran Klaudiusz,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/baran-klaudiusz-en
Baranowski Marcin,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/baranowski-marcin-en
Barcewicz Stanisław,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/barcewicz-stanislaw-en
Barczyński Wojciech,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/barczynski-wojciech-en
Bargielski Zbigniew,true,21st January 1937,Łomża,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bargielski-zbigniew-en
Baron Piotr,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/baron-piotr-en
Bartczak Maciej Piotr,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bartczak-maciej-piotr-en
Bartkiewicz Urszula,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bartkiewicz-urszula-en
Bartkowski Bolesław,false,3rd March 1936,Sarbice,25th March 1998,Lublin,https://polmic.pl/en/encyclopedia/subject-entries/b/bartkowski-boleslaw-en
Bartmiński Jerzy,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bartminski-jerzy-en
Bartmiński Rafał,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bartminski-rafal-en
Batog Aleksandra,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/batog-aleksandra-en
Batog Krzysztof,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/batog-krzysztof-en
Bator Andrzej,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bator-andrzej-en
Bator Dariusz,false,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bator-dariusz-en
