name,is_composer,birth_date,birth_place,death_date,death_place,url,in_the_db,wikidata_id
Ajdinović Jacek,true,1st March 1985,Cracow,,,https://polmic.pl/en/encyclopedia/subject-entries/a/ajdinovic-jacek-wiktor-en,false,
Anbild (Strzempa) Karol,true,16th February 1925,Katowice,1st March 2008,Kielce,https://polmic.pl/en/encyclopedia/subject-entries/a/anbild-strzempa-karol-en,false,
Aniołkiewicz Czesław,true,22nd January 1905,Wierzchy,7th April 1973,Łódź,https://polmic.pl/en/encyclopedia/subject-entries/a/aniolkiewicz-czeslaw-en,false,
Araszkiewicz Franciszek,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/a/araszkiewicz-franciszek-en,false,
Arnhold Katarzyna,true,4th August 1968,Opole,,,https://polmic.pl/en/encyclopedia/subject-entries/a/arnhold-katarzyna-en,false,
Arnold Tomasz,true,18th May 1990,Cracow,,,https://polmic.pl/en/encyclopedia/subject-entries/a/arnold-tomasz-en,false,
Astriab Jan,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/a/astriab-jan-en,false,
Augustyn Rafał,true,"Aug. 28, 1951",Wrocław,,,https://polmic.pl/en/encyclopedia/subject-entries/a/augustyn-rafal-en,true,Q7282425
Bacewicz Grażyna,true,5th February 1909,Łódź,17th January 1969,Warsaw,https://polmic.pl/en/encyclopedia/subject-entries/b/bacewicz-grazyna-en,true,Q230978
Baculewski Krzysztof,true,26th December 1950,Warsaw,,,https://polmic.pl/en/encyclopedia/subject-entries/b/baculewski-krzysztof-en,false,
Bagiński Zbigniew,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/baginski-zbigniew-en,false,
Baird Tadeusz,true,26th July 1928,Grodzisk Mazowiecki,2nd September 1981,Warsaw,https://polmic.pl/en/encyclopedia/subject-entries/b/baird-tadeusz-en,true,Q545594
Bajerski Tomasz,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bajerski-tomasz-en,false,
Bałdych Adam,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/baldych-adam-en,false,
Bałenkowski Maciej,true,18th October 1993,Radom,,,https://polmic.pl/en/encyclopedia/subject-entries/b/balenkowski-maciej-en,false,
Banasik Marcin Filip,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/banasik-marcin-filip-en,false,
Bancer Teresa,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bancer-teresa-en,false,
Bańka Piotr,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/banka-piotr-en,false,
Bargielski Zbigniew,true,21st January 1937,Łomża,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bargielski-zbigniew-en,true,Q167978
Baron Piotr,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/baron-piotr-en,false,
Bauer Andrzej,true,25th October 1962,Łódź,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bauer-andrzej-en,false,
Bauer Jerzy,true,12th May 1936,Łódź,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bauer-jerzy-en,false,
Bazylik Cyprian,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bazylik-cyprian-en,true,Q709965
Behr Stefan,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/behr-stefan-en,false,
Bembinow Miłosz,true,1st January 1978,Warsaw,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bembinow-milosz-en,false,
Berger Roman,true,9 August 1930,Cieszyn,22 December 2020,Bratislava,https://polmic.pl/en/encyclopedia/subject-entries/b/berger-roman-en,false,
Białostocki Zygmunt,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bialostocki-zygmunt-en,false,
Bień Mateusz,true,24th October 1968,Wrocław,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bien-mateusz-en,false,
Birnbaum Zdzisław Aleksander,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/birnbaum-zdzislaw-aleksander-en,false,
Błażejczyk Wojciech,true,10 January 1981,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/blazejczyk-wojciech-en,false,
Błażewicz Marcin,true,28 Feb. 1953,Warsaw,5th April 2021,Podkowa Leśna,https://polmic.pl/en/encyclopedia/subject-entries/b/blazewicz-marcin-en,false,
Blecharz Wojciech,true,21st June 1981,Gdynia,,,https://polmic.pl/en/encyclopedia/subject-entries/b/blecharz-wojciech-en,false,
Bloch Augustyn,true,13th August 1929,Grudziądz,6th April 2006,Warsaw,https://polmic.pl/en/encyclopedia/subject-entries/b/bloch-augustyn-en,true,Q770856
Błońska Alina,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/blonska-alina-en,false,
Bogusławski Edward,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/boguslawski-edward-en,true,Q11696144
Bojanowski Jerzy,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bojanowski-jerzy-en,false,
Borkowski Marian,true,17 Aug. 1934,Pabianice,,,https://polmic.pl/en/encyclopedia/subject-entries/b/borkowski-marian-en,false,
Borowski Ryszard,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/borowski-ryszard-en,false,
Bortkun-Szpotańska Katarzyna,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bortkun-szpotanska-katarzyna-en,false,
Bortnowski Marcin,true,1st March 1972,Żary,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bortnowski-marcin-en,false,
Borzym Andrzej,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/borzym-andrzej-en,false,
Botor Henryk Jan,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/botor-henryk-jan-en,false,
Brochocka Katarzyna,true,4th January 1982,Lidzbark Warmiński,,,https://polmic.pl/en/encyclopedia/subject-entries/b/brochocka-katarzyna-en,false,
Bromboszcz Stanisław,true,24th March 1980,Krakow,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bromboszcz-stanislaw-en,false,
Bruzdowicz-Tittel Joanna,true,17th May 1943,Warsaw,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bruzdowicz-tittel-joanna-en,false,
Bryk Aleksander,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bryk-aleksander-en,false,
Brzóska Szymon,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/brzoska-szymon-en,false,
Buchwald Magdalena,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/buchwald-magdalena-en,false,
Buczek Barbara,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/buczek-barbara-en,false,
Buczyński Paweł,true,7th April 1953,Laski,,,https://polmic.pl/en/encyclopedia/subject-entries/b/buczynski-pawel-en,false,
Buczyński Walter,true,17th December 1933,Toronto (Canada),,,https://polmic.pl/en/encyclopedia/subject-entries/b/buczynski-walter-en,true,Q7964414
Budzyński Bartłomiej,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/budzynski-bartlomiej-en,false,
Bujarski Zbigniew,true,21st August 1933,Muszyna,13th April 2018,Krakow,https://polmic.pl/en/encyclopedia/subject-entries/b/bujarski-zbigniew-en,false,
Bukowski Ryszard,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bukowski-ryszard-en,false,
Bursa (Bursa-Dołęga) Stanisław Władysław,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bursa-bursa-dolega-stanislaw-wladyslaw-en,false,
Bursa Lech Karol,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bursa-lech-karol-en,false,
Bury Edward,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/b/bury-edward-en,false,
Burzyńska Nikolet,true,29th July 1989,Katowice,,,https://polmic.pl/en/encyclopedia/subject-entries/b/burzynska-nikolet-en,false,
Cato Diomedes,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/c/cato-diomedes-en,true,
Chachaj Tadeusz,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/c/chachaj-tadeusz-en,false,
Chajdecki Bartosz,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/c/chajdecki-bartosz-en,true,Q288898
Chang Eunho,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/c/chang-eunho-en,false,
Chełmecki Jarosław,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/c/chelmecki-jaroslaw-en,false,
Chmielewska Aleksandra,true,1st September 1993,Warsaw,,,https://polmic.pl/en/encyclopedia/subject-entries/c/chmielewska-aleksandra-en,false,
Chołoniewski Marek,true,23rd October 1953,Cracow,,,https://polmic.pl/en/encyclopedia/subject-entries/c/choloniewski-marek-en,false,
Chopin Fryderyk,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/c/chopin-fryderyk-en,false,
Chorosiński Andrzej,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/c/chorosinski-andrzej-en,false,
Chyrzyński Marcel,true,26 November 1971,Częstochowa,,,https://polmic.pl/en/encyclopedia/subject-entries/c/chyrzynski-marcel-en,true,Q11767342
Ciechan Zbigniew,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/c/ciechan-zbigniew-en,false,
Cienciała Wiesław,true,17 August 1961,Cieszyn,,,https://polmic.pl/en/encyclopedia/subject-entries/c/cienciala-wieslaw-en,false,
Cieślak Artur,true,30th December 1968,Szczecin,,,https://polmic.pl/en/encyclopedia/subject-entries/c/cieslak-artur-en,false,
Ciuciura Leoncjusz,true,22nd June 1930,Grodzisk Mazowiecki,28 February 2017,Grodzisk Mazowiecki,https://polmic.pl/en/encyclopedia/subject-entries/c/ciuciura-leoncjusz-en,false,
Cwojdziński Andrzej,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/c/cwojdzinski-andrzej-en,false,
