name,birth_date,birth_place,death_date,death_place,url,in_the_db,wikidata_id
Olle Åberg,,,,,https://www.swedishmusicalheritage.com/composers/aberg-olle/,false,
Thomas Åberg,,,,,https://www.swedishmusicalheritage.com/composers/aberg-thomas/,true,Q16633580
Giuseppe Acerbi,3 May 1773,Castel Goffredo (Mantua),25 August 1846,Castel Goffredo (Mantua),https://www.swedishmusicalheritage.com/composers/acerbi-giuseppe/,false,
Johann Gottlieb Adam,7 mars 1746,,5 februari 1826,Tyska S:ta Gertruds församling (Stockholm),https://www.swedishmusicalheritage.com/composers/adam-johan-gottlieb/,false,
Savannah Agger,,,,,https://www.swedishmusicalheritage.com/composers/agger-savannah/,false,
Johan Agrell,1 February 1701,"Löth parish, Östergötland",19 January 1765,Nuremberg,https://www.swedishmusicalheritage.com/composers/agrell-johan/,true,Q961575
Gunnar Ahlberg,,,,,https://www.swedishmusicalheritage.com/composers/ahlberg-gunnar/,true,Q43704749
Tor Ahlberg,,,,,https://www.swedishmusicalheritage.com/composers/ahlberg-tor/,true,Q5543868
Pär Ahlbom,,,,,https://www.swedishmusicalheritage.com/composers/ahlbom-par/,false,
Waldemar Åhlén,21 juli 1894,Helgesta församling (Flen),18 december 1982,Högalids församling (Stockholm),https://www.swedishmusicalheritage.com/composers/ahlen-waldemar/,false,
Sven Ahlin,,,,,https://www.swedishmusicalheritage.com/composers/ahlin-sven/,false,
Carolina Åhlström,12 augusti 1782,"Maria Magdalena församling, Stockholm,",28 mars 1860,Hedvig Eleonora församling (Stockholm),https://www.swedishmusicalheritage.com/composers/ahlstrom-carolina/,false,
Jacob Niclas Ahlström,,,14 May 1857,Stockholm,https://www.swedishmusicalheritage.com/composers/ahlstrom-jacob-niclas/,false,
Johan Alfred Ahlström,1 January 1833,Stockholm,26 March 1910,Stockholm,https://www.swedishmusicalheritage.com/composers/ahlstrom-johan-alfred/,true,Q5544287
Olof Åhlström,14 August 1756,Vårdinge,,,https://www.swedishmusicalheritage.com/composers/ahlstrom-olof/,true,Q327530
Oscar Ahnfelt,21 May 1813,"Gullarp, Skåne,",22 October 1882,Karlshamn,https://www.swedishmusicalheritage.com/composers/ahnfelt-oscar/,false,
Erik Åkerberg,19 January 1860,Stockholm,20 January 1938,the same city,https://www.swedishmusicalheritage.com/composers/akerberg-erik/,true,Q1354263
Lars Åkerlund,,,,,https://www.swedishmusicalheritage.com/composers/akerlund-lars/,false,
Jeanna Åkerman,16 December 1798,Gothenburg,27 May 1859,Dresden,https://www.swedishmusicalheritage.com/composers/akerman-jeanna/,false,
Vincenzo Albrici,26 June 1631,Rome,8 August 1690,Prague,https://www.swedishmusicalheritage.com/composers/albrici-vincenzo/,true,Q543891
Magnus Alexanderson,,,,,https://www.swedishmusicalheritage.com/composers/alexanderson-magnus/,false,
Helmer Alexandersson,16 November 1886,,24 December 1927,Stockholm,https://www.swedishmusicalheritage.com/composers/alexandersson-helmer/,false,
Linda Alexandersson,,,,,https://www.swedishmusicalheritage.com/composers/alexandersson-linda/,false,
Hugo Alfvén,"1st May, 1872",Stockholm,"8 May, 1960","Tibble, Leksand (Dalecarlia, Sweden)",https://www.swedishmusicalheritage.com/composers/alfven-hugo/,true,Q318840
Per-Gunnar Alldahl,,,,,https://www.swedishmusicalheritage.com/composers/alldahl-per-gunnar/,false,
Claude Loyola Allgén,,,,,https://www.swedishmusicalheritage.com/composers/allgen-claude-loyola/,false,
Ruth Almén,24 September 1870,"Kålltorp, Bohus County",19 November 1945,Gothenburg,https://www.swedishmusicalheritage.com/composers/almen-ruth/,true,Q4935182
Alwar Almkvisth,,,,,https://www.swedishmusicalheritage.com/composers/almkvisth-alwar/,false,
Carl Jonas Love Almqvist,,,,,https://www.swedishmusicalheritage.com/composers/almqvist-carl-jonas-love/,false,
Ragnar Althén,19 November 1883,"Stockholm,",14 July 1961,"Stockholm,",https://www.swedishmusicalheritage.com/composers/althen-ragnar/,false,
Erik Alvin,6 maj 1902,Norrköping,19 juni 1992,Vänersborg,https://www.swedishmusicalheritage.com/composers/alvin-erik/,false,
Jonas Åhman (Åman),20 november 1729,Stockholm,5 maj 1761,Stockholm,https://www.swedishmusicalheritage.com/composers/aman-jonas/,false,
Johan Fredrik Aminoff,26 januari 1756,,30 mars 1842,,https://www.swedishmusicalheritage.com/composers/aminoff-johan-fredrik/,false,
Anders Jobs,29 oktober 1876,Leksands församling,10 augusti 1959,Falu Kristine församling,https://www.swedishmusicalheritage.com/composers/anders-jobs/,false,
Anton Andersen,10 October 1845,Kristiansand,9 September 1926,Stockholm,https://www.swedishmusicalheritage.com/composers/andersen-anton/,false,
B Tommy Andersson,,,,,https://www.swedishmusicalheritage.com/composers/andersson-b-tommy/,true,Q5554064
Kjell Andersson,,,,,https://www.swedishmusicalheritage.com/composers/andersson-kjell/,false,
Magnus F Andersson,26 juni 1953,,,,https://www.swedishmusicalheritage.com/composers/andersson-magnus-f/,true,Q175462
Richard Andersson,22 August 1851,Stockholm,20 May 1918,,https://www.swedishmusicalheritage.com/composers/andersson-richard/,true,Q4065295
Sol Andersson,,,,,https://www.swedishmusicalheritage.com/composers/andersson-sol/,false,
Tina Andersson,,,,,https://www.swedishmusicalheritage.com/composers/andersson-tina/,false,
Elfrida Andrée,19 February 1841,Visby,11 January 1929,Gothenburg,https://www.swedishmusicalheritage.com/composers/andree-elfrida/,true,Q451495
Manolita de Anduaga,4 August 1875,Stockholm,23 March 1968,Rome,https://www.swedishmusicalheritage.com/composers/anduaga-forssling-manolita-de/,false,
,,,,,https://www.swedishmusicalheritage.com/composers/anonym-anonym/,false,
Birger Anrep-Nordin,21 January 1888,Skara,25 November 1946,Gothenburg,https://www.swedishmusicalheritage.com/composers/anrep-nordin-birger/,false,
Christopher Anthin,,,,,https://www.swedishmusicalheritage.com/composers/anthin-christopher/,false,
Lars Johan Appelberg,27 februari 1798,Karlskrona,6 november 1845,Arboga,https://www.swedishmusicalheritage.com/composers/appelberg-lars-johan/,false,
Ylva Q Arkvik,,,,,https://www.swedishmusicalheritage.com/composers/arkvik-ylva-q/,false,
Fritz Arlberg,21 March 1830,"Leksand, Sweden",21 February 1896,Kristiania (Oslo),https://www.swedishmusicalheritage.com/composers/arlberg-fritz/,false,
Robert Arnborg,,,,,https://www.swedishmusicalheritage.com/composers/arnborg-robert/,false,
Eric Arrhén von Kapfelman,21 October 1790,Västervik,23 May 1851,Stockholm,https://www.swedishmusicalheritage.com/composers/arrhen-von-kapfelman-eric/,false,
Per Arvidsson Bremmers,,,,,https://www.swedishmusicalheritage.com/composers/arvidsson-bremmers-per/,false,
Peter Askergren,4 February 1767,"Sätila, Västergötland,",17 February 1818,Stockholm,https://www.swedishmusicalheritage.com/composers/askergren-peter/,false,
Herman Asplöf,15 November 1881,Gåsborn,,,https://www.swedishmusicalheritage.com/composers/asplof-herman/,false,
Jonas Asplund,,,,,https://www.swedishmusicalheritage.com/composers/asplund-jonas/,false,
Wilhelm Åström,22 augusti 1840,Kristianstads garnisonsförsamling,8 april 1898,Växjö stadsförsamling,https://www.swedishmusicalheritage.com/composers/astrom-wilhelm/,false,
Kurt Atterberg,12 december 1887,,15 februari 1974,Stockholm,https://www.swedishmusicalheritage.com/composers/atterberg-kurt/,true,Q440388
Tor Aulin,10 September 1866,Stockholm,1 March 1914,the nearby coastal resort of Saltsjöbaden,https://www.swedishmusicalheritage.com/composers/aulin-tor/,true,Q786825
Valborg Aulin,9 January 1860,"Gävle,",13 March 1928,,https://www.swedishmusicalheritage.com/composers/aulin-valborg/,true,Q451402
Jonny Axelsson,,,,,https://www.swedishmusicalheritage.com/composers/axelsson-jonny/,false,
Girilal Baars,,,,,https://www.swedishmusicalheritage.com/composers/baars-girilal/,false,
Knut Bäck,22 April 1868,Stockholm,27 October 1953,Gothenburg,https://www.swedishmusicalheritage.com/composers/back-knut/,true,Q5600153
Sven-Eric Bäck,,,,,https://www.swedishmusicalheritage.com/composers/back-sven-eric/,false,
Catharina Backman,,,,,https://www.swedishmusicalheritage.com/composers/backman-catharina/,false,
Abraham Baer,26 December 1834,Filehne (then Prussia),6 March 1894,Gothenburg,https://www.swedishmusicalheritage.com/composers/baer-abraham/,false,
Johann Bahr,,,,,https://www.swedishmusicalheritage.com/composers/bahr-johan/,false,
Malin Bång,,,,,https://www.swedishmusicalheritage.com/composers/bang-malin/,false,
Nils Anton Augustin Bark (Barck),27 augusti 1760,Wien,,,https://www.swedishmusicalheritage.com/composers/barck-nils-anton-augustin/,false,
Jan Bark,,,,,https://www.swedishmusicalheritage.com/composers/bark-jan/,true,Q5565915
Carin Bartosch Edström,,,,,https://www.swedishmusicalheritage.com/composers/bartosch-edstrom-carin/,true,Q4937641
