name,years,has_description,composer_url
Olle Åberg,1970-,True,https://www.swedishmusicalheritage.com/composers/aberg-olle/
Thomas Åberg,1952-,True,https://www.swedishmusicalheritage.com/composers/aberg-thomas/
Savannah Agger,1971-,True,https://www.swedishmusicalheritage.com/composers/agger-savannah/
Gunnar Ahlberg,1942-2015,True,https://www.swedishmusicalheritage.com/composers/ahlberg-gunnar/
Tor Ahlberg,1913-2008,True,https://www.swedishmusicalheritage.com/composers/ahlberg-tor/
Pär Ahlbom,1932-,True,https://www.swedishmusicalheritage.com/composers/ahlbom-par/
Sven Ahlin,1951-,True,https://www.swedishmusicalheritage.com/composers/ahlin-sven/
Lars Åkerlund,1953-,True,https://www.swedishmusicalheritage.com/composers/akerlund-lars/
Magnus Alexanderson,1961-,True,https://www.swedishmusicalheritage.com/composers/alexanderson-magnus/
Linda Alexandersson,1984-,True,https://www.swedishmusicalheritage.com/composers/alexandersson-linda/
Per-Gunnar Alldahl,1943-,True,https://www.swedishmusicalheritage.com/composers/alldahl-per-gunnar/
Claude Loyola Allgén,1920-1990,True,https://www.swedishmusicalheritage.com/composers/allgen-claude-loyola/
Alwar Almkvisth,1950-,True,https://www.swedishmusicalheritage.com/composers/almkvisth-alwar/
Carl Jonas Love Almqvist,1793−1866,True,https://www.swedishmusicalheritage.com/composers/almqvist-carl-jonas-love/
B Tommy Andersson,1964-,True,https://www.swedishmusicalheritage.com/composers/andersson-b-tommy/
Kjell Andersson,1937-,True,https://www.swedishmusicalheritage.com/composers/andersson-kjell/
Sol Andersson,1977-,True,https://www.swedishmusicalheritage.com/composers/andersson-sol/
Tina Andersson,1966-,True,https://www.swedishmusicalheritage.com/composers/andersson-tina/
,,True,https://www.swedishmusicalheritage.com/composers/anonym-anonym/
Christopher Anthin,1973-,True,https://www.swedishmusicalheritage.com/composers/anthin-christopher/
Ylva Q Arkvik,1961-,True,https://www.swedishmusicalheritage.com/composers/arkvik-ylva-q/
Robert Arnborg,1982-,True,https://www.swedishmusicalheritage.com/composers/arnborg-robert/
Per Arvidsson Bremmers,1959-2012,True,https://www.swedishmusicalheritage.com/composers/arvidsson-bremmers-per/
Jonas Asplund,1971-,True,https://www.swedishmusicalheritage.com/composers/asplund-jonas/
Jonny Axelsson,1963-,True,https://www.swedishmusicalheritage.com/composers/axelsson-jonny/
Girilal Baars,1967-,True,https://www.swedishmusicalheritage.com/composers/baars-girilal/
Sven-Eric Bäck,1919-1994,True,https://www.swedishmusicalheritage.com/composers/back-sven-eric/
Catharina Backman,1961-,True,https://www.swedishmusicalheritage.com/composers/backman-catharina/
Johann Bahr,ca 1610−1670,True,https://www.swedishmusicalheritage.com/composers/bahr-johan/
Malin Bång,1974-,True,https://www.swedishmusicalheritage.com/composers/bang-malin/
Jan Bark,1934-2012,True,https://www.swedishmusicalheritage.com/composers/bark-jan/
Carin Bartosch Edström,1965-,True,https://www.swedishmusicalheritage.com/composers/bartosch-edstrom-carin/
Daniel Bell,1928-2022,True,https://www.swedishmusicalheritage.com/composers/bell-daniel/
Peter Bengtson,1961-,True,https://www.swedishmusicalheritage.com/composers/bengtson-peter/
Simon Berggården,1981-,True,https://www.swedishmusicalheritage.com/composers/berggarden-simon/
J. Anders Berggrén,1945-,True,https://www.swedishmusicalheritage.com/composers/berggren-j-anders/
Johannes Bergmark,1963-,True,https://www.swedishmusicalheritage.com/composers/bergmark-johannes/
Fredric Bergström,1975-,True,https://www.swedishmusicalheritage.com/composers/bergstrom-fredric/
Ansgar Beste,1981-,True,https://www.swedishmusicalheritage.com/composers/beste-ansgar/
Thomas Bjelkeborn,1959-,True,https://www.swedishmusicalheritage.com/composers/bjelkeborn-thomas/
Staffan Björklund,1944-,True,https://www.swedishmusicalheritage.com/composers/bjorklund-staffan/
Ulf Björlin,1933-1993,True,https://www.swedishmusicalheritage.com/composers/bjorlin-ulf/
Peter Bjuhr,1971-,True,https://www.swedishmusicalheritage.com/composers/bjuhr-peter/
Björn Bjurling,1966-,True,https://www.swedishmusicalheritage.com/composers/bjurling-bjorn/
Gustaf Blix,1991-,True,https://www.swedishmusicalheritage.com/composers/blix-gustaf/
Johan Blixt,1991-,True,https://www.swedishmusicalheritage.com/composers/blixt-johan/
Tomas Block,1968-,True,https://www.swedishmusicalheritage.com/composers/block-tomas/
Erik Blomberg,1922-2006,True,https://www.swedishmusicalheritage.com/composers/blomberg-erik/
Karl-Birger Blomdahl,1916-1968,True,https://www.swedishmusicalheritage.com/composers/blomdahl-karl-birger/
Tony Blomdahl,1972-,True,https://www.swedishmusicalheritage.com/composers/blomdahl-tony/
Anders Blomqvist,1956-2020,True,https://www.swedishmusicalheritage.com/composers/blomqvist-anders/
Lars-Gunnar Bodin,1935-2021,True,https://www.swedishmusicalheritage.com/composers/bodin-lars-gunnar/
Jonas Bohlin,1963-,True,https://www.swedishmusicalheritage.com/composers/bohlin-jonas/
Laci Boldemann,1921-1969,True,https://www.swedishmusicalheritage.com/composers/boldemann-laci/
Victoria Borisova-Ollas,1969-,True,https://www.swedishmusicalheritage.com/composers/borisova-ollas-victoria/
Lars-Ove Börjesson,1953-,True,https://www.swedishmusicalheritage.com/composers/borjesson-lars-ove/
Daniel Börtz,1943-,True,https://www.swedishmusicalheritage.com/composers/bortz-daniel/
Paul Bothén,1964-,True,https://www.swedishmusicalheritage.com/composers/bothen-paul/
Kristin Boussard,1988-,True,https://www.swedishmusicalheritage.com/composers/boussard-kristin/
Håkan Brandqvist,1940-,True,https://www.swedishmusicalheritage.com/composers/brandqvist-hakan/
Kristian Bredin,1964-,True,https://www.swedishmusicalheritage.com/composers/bredin-kristian/
Niklas Breman,1966-,True,https://www.swedishmusicalheritage.com/composers/breman-niklas/
Jonas Broberg,1962-,True,https://www.swedishmusicalheritage.com/composers/broberg-jonas/
Niklas Brommare,1964-,True,https://www.swedishmusicalheritage.com/composers/brommare-niklas/
Lars Bröndum,1961-,True,https://www.swedishmusicalheritage.com/composers/brondum-lars/
Hildur Broström,1865−1948,True,https://www.swedishmusicalheritage.com/composers/brosrom-hildur/
Tobias Broström,1978-,True,https://www.swedishmusicalheritage.com/composers/brostrom-tobias/
William Brunson,1953-,True,https://www.swedishmusicalheritage.com/composers/brunson-william/
Gunnar Bucht,1927-,True,https://www.swedishmusicalheritage.com/composers/bucht-gunnar/
Erik Bünger,1976-,True,https://www.swedishmusicalheritage.com/composers/bunger-erik/
Magnus Bunnskog,1974-,True,https://www.swedishmusicalheritage.com/composers/bunnskog-magnus/
Britta Byström,1977-,True,https://www.swedishmusicalheritage.com/composers/bystrom-britta/
Carl-Olof Anderberg,1914-1972,True,https://www.swedishmusicalheritage.com/composers/carl-olof-carl-olof/
Lars Carlsson,1972-,True,https://www.swedishmusicalheritage.com/composers/carlsson-lars/
Jan Carlstedt,1926-2004,True,https://www.swedishmusicalheritage.com/composers/carlstedt-jan/
Anna Cederberg-Orreteg,1958-,True,https://www.swedishmusicalheritage.com/composers/cederberg-orreteg-anna/
André Chini,1945-,True,https://www.swedishmusicalheritage.com/composers/chini-andre/
Leo Correia De Verdier,1980-,True,https://www.swedishmusicalheritage.com/composers/correia-de-verdier-leo/
Jörgen Dafgård,1964-,True,https://www.swedishmusicalheritage.com/composers/dafgard-jorgen/
Hans-Erik Dahlgren,1954-2012,True,https://www.swedishmusicalheritage.com/composers/dahlgren-hans-erik/
Henrik Dahlgren,1991-,True,https://www.swedishmusicalheritage.com/composers/dahlgren-henrik/
Palle Dahlstedt,1971-,True,https://www.swedishmusicalheritage.com/composers/dahlstedt-palle/
Csaba Deák,1932-2018,True,https://www.swedishmusicalheritage.com/composers/deak-csaba/
Johannes Degen,1910-1989,True,https://www.swedishmusicalheritage.com/composers/degen-johannes/
Henrik Denerin,1978-,True,https://www.swedishmusicalheritage.com/composers/denerin-henrik/
Lüdert Dijkman,1640-tal−1717,True,https://www.swedishmusicalheritage.com/composers/dijkman-ludert/
Anders von Düben d.y.,1673−1738,True,https://www.swedishmusicalheritage.com/composers/duben-andreas-von/
Andreas Düben d.ä.,Ca 1597/98−1662,True,https://www.swedishmusicalheritage.com/composers/duben-andreas/
Peter Düben,1633-1694,True,https://www.swedishmusicalheritage.com/composers/duben-peter/
Agnessa Dzodtsoeva,1944-,True,https://www.swedishmusicalheritage.com/composers/dzodtsoeva-agnessa/
Sixten Eckerberg,1909-1991,True,https://www.swedishmusicalheritage.com/composers/eckerberg-sixten/
Fredrik Ed,1964-,True,https://www.swedishmusicalheritage.com/composers/ed-fredrik/
Isak Edberg,1989-,True,https://www.swedishmusicalheritage.com/composers/edberg-isak/
Mats Edén,1957-,True,https://www.swedishmusicalheritage.com/composers/eden-mats/
Lars Edlund,1922-2013,True,https://www.swedishmusicalheritage.com/composers/edlund-lars/
Mikael Edlund,1950-,True,https://www.swedishmusicalheritage.com/composers/edlund-mikael/
Per Egland,1980-,True,https://www.swedishmusicalheritage.com/composers/egland-per/
Andreas Eklöf,1975-,True,https://www.swedishmusicalheritage.com/composers/eklof-andreas/
Hans Eklund,1927-1999,True,https://www.swedishmusicalheritage.com/composers/eklund-hans/
Petter Ekman,1989-,True,https://www.swedishmusicalheritage.com/composers/ekman-petter/
Lars Ekström,1956-2015,True,https://www.swedishmusicalheritage.com/composers/ekstrom-lars/
Leif Elggren,1950-,True,https://www.swedishmusicalheritage.com/composers/elggren-leif/
Christofer Elgh,1969-,True,https://www.swedishmusicalheritage.com/composers/elgh-christofer/
Anders Eliasson,1947-2013,True,https://www.swedishmusicalheritage.com/composers/eliasson-anders/
Sune Mattias Emanuelsson,1979-,True,https://www.swedishmusicalheritage.com/composers/emanuelsson-sune-mattias/
Ulrika Emanuelsson,1965-,True,https://www.swedishmusicalheritage.com/composers/emanuelsson-ulrika/
Anders Emilsson,1963-,True,https://www.swedishmusicalheritage.com/composers/emilsson-anders/
