article,name,birth,death,flourish,era
Philippe de Monte,Philippe de Monte,1521,1603,,Baroque
Baldassare Donato,Baldassare Donato,1525/1530,1603,,Baroque
Costanzo Porta,Costanzo Porta,1529,1601,,Baroque
Jiří Rychnovský,Jiří Rychnovský,1529,1616,,Baroque
Guillaume Costeley,Guillaume Costeley,1530,1606,,Baroque
Fabritio Caroso,Fabritio Caroso,1530,1605/1620,,Baroque
Mateo Flecha el Joven,Mateo Flecha the Younger,1530,1604,,Baroque
Gianmatteo Asola,Gianmatteo Asola,1532,1609,,Baroque
Andrea Gabrieli,Andrea Gabrieli,1532/1523,1585,,Baroque
Claudio Merulo,Claudio Merulo,1533,1604,,Baroque
Francesco Soto de Langa,Francesco Soto de Langa,1534,1619,,Baroque
Rocco Rodio,Rocco Rodio,1535,after 1615,,Baroque
Mikołaj Gomółka,Mikołaj Gomółka,1535,1609,,Baroque
Cesare Negri,Cesare Negri,1535,1605,,Baroque
Simone de Bonefont,Simone de Bonefont,1535 ,  ?,,Baroque
Johannes Matelart,Johannes Matelart,before 1538,1607,,Baroque
Stefano Felis,Stefano Felis,1538,1603,,Baroque
William Byrd,William Byrd,1540,1623,,Baroque
Matthäus Waissel,Matthäus Waissel,1540,1602,,Baroque
Giovanni Ferretti,Giovanni Ferretti,1540,after 1609,,Baroque
Tiburtio Massaino,Tiburzio Massaino,1540,after 1608,,Baroque
Hernando de Cabezón,Hernando de Cabezón,1541,1602,,Baroque
Gioseffo Guami,Gioseffo Guami,1542,1611,,Baroque
Giovanni Maria Nanino,Giovanni Maria Nanino,1543/1544,1607,,Baroque
Francesco Guami,Francesco Guami,1544,1602,,Baroque
Anthony Holborne,Anthony Holborne,1545,1602,,Baroque
Luzzasco Luzzaschi,Luzzasco Luzzaschi,1545,1607,,Baroque
Jakub Polak (musician),Jakub Polak,1545,1605,,Baroque
Ginés de Boluda,Ginés de Boluda,1545,1606,,Baroque
Manuel Mendes,Manuel Mendes,1547,1605,,Baroque
Francesco Soriano,Francesco Soriano,1548,1621,,Baroque
Tomás Luis de Victoria,Tomás Luis de Victoria,1548,1611,,Baroque
Eustache Du Caurroy,Eustache Du Caurroy,1549,1609,,Baroque
Bernardo Clavijo del Castillo,Bernardo Clavijo del Castillo,1549,1626,,Baroque
Jacobus Gallus,Jacobus Gallus,1550,1591,,Baroque
Charles Tessier,Charles Tessier,1550,after 1604,,Baroque
Thomas Mancinus,Thomas Mancinus,1550,1612,,Baroque
Ippolito Baccusi,Ippolito Baccusi,1550,1609,,Baroque
Emilio de' Cavalieri,Emilio de' Cavalieri,c. 1550,1602,,Baroque
Cesario Gussago,Cesario Gussago,1550,1612,,Baroque
Pomponio Nenna,Pomponio Nenna,1550,1613,,Baroque
Riccardo Rognoni,Riccardo Rognoni,c. 1550,c. 1620,,Baroque
David Sacerdote,David Sacerdote,1550,1625,,Baroque
Ruggiero Trofeo,Ruggiero Trofeo,1550,1614,,Baroque
Orazio Vecchi,Orazio Vecchi,1550,1605,,Baroque
Guillaume de Chastillon,Guillaume de Chastillon,c. 1550,1610,,Baroque
Tomasz Szadek,Tomasz Szadek,1550,1612,,Baroque
Krzysztof Klabon,Krzysztof Klabon,1550,1616,,Baroque
Gregory (Gregorius) Howet (Huwet),Gregory (Gregorius) Howet (Huwet),1550,1617,,Baroque
Pedro de Cristo,Pedro de Cristo,1550,1618,,Baroque
Vicente Espinel,Vicente Espinel,1550,1624,,Baroque
Juan Navarro Gaditanus,Juan Navarro,1550,1610,,Baroque
Ambrosio Cotes,Ambrosio Cotes,1550,1603,,Baroque
Sebastián Raval,Sebastián Raval,1550,1604,,Baroque
Jan Trojan Turnovský,Jan Trojan Turnovský,1550,1606,,Baroque
Pavel Spongopaeus Jistebnický,Pavel Spongopaeus Jistebnický,1550,1619,,Baroque
Giulio Caccini,Giulio Caccini,1551,1618,,Baroque
Benedetto Pallavicino,Benedetto Pallavicino,1551,1601,,Baroque
Girolamo Belli,Girolamo Belli,1552,1620,,Baroque
Edmund Hooper (organist),Edmund Hooper,1553,1621,,Baroque
Johannes Eccard,Johannes Eccard,1553,1611,,Baroque
Leonhard Lechner,Leonhard Lechner,1553,1606,,Baroque
Elway Bevin,Elway Bevin,1554,1638,,Baroque
William Inglot,William Inglot,1554,1621,,Baroque
Emmanuel Adriaenssen,Emmanuel Adriaenssen,1554,1604,,Baroque
Cosimo Bottegari,Cosimo Bottegari,1554,1620,,Baroque
Girolamo Diruta,Girolamo Diruta,1554,after 1610,,Baroque
Giovanni Giacomo Gastoldi,Giovanni Giacomo Gastoldi,1554,1609,,Baroque
Giovanni Gabrieli,Giovanni Gabrieli,c. 1554/1557,1612,,Baroque
Jacques Champion (composer),Jacques Champion,before 1555,1642,,Baroque
John Mundy (composer),John Mundy,1555,1630,,Baroque
Gabriele Villani,Gabriele Villani,1555,1625,,Baroque
Manuel Rodrigues Coelho,Manuel Rodrigues Coelho,c. 1555,c. 1635,,Baroque
Paolo Quagliati,Paolo Quagliati,c. 1555,1628,,Baroque
Alonso Lobo,Alonso Lobo,1555,1617,,Baroque
Johannes Nucius,Johannes Nucius,c. 1556,1620,,Baroque
Thomas Morley,Thomas Morley,1557,1602,,Baroque
Carolus Luython,Carolus Luython,1557,1620,,Baroque
Jacques Mauduit,Jacques Mauduit,1557,1627,,Baroque
Giovanni Croce,Giovanni Croce,c. 1557,1609,,Baroque
Alfonso Fontanelli,Alfonso Fontanelli,1557,1622,,Baroque
Wojciech Długoraj,Wojciech Długoraj,1557,after 1619,,Baroque
Nathaniel Giles,Nathaniel Giles,1558,1634,,Baroque
Matthew Jeffries,Matthew Jeffries,1558,1615,,Baroque
Ferdinando Richardson,Ferdinando Richardson,1558,1618,,Baroque
Richard Carlton,Richard Carlton,1558,1638,,Baroque
Philippus Schoendorff,Philippus Schoendorff,1558,1617,,Baroque
Giovanni Bassano,Giovanni Bassano,c. 1558,1617,,Baroque
Scipione Stella,Scipione Stella,1558/1559,1622,,Baroque
Richard Allison (composer),Richard Allison,1560/1570,before 1610,,Baroque
Felice Anerio,Felice Anerio,1560,1614,,Baroque
Giulio Belli,Giulio Belli,c. 1560,1621 or later,,Baroque
William Brade,William Brade,1560,1630,,Baroque
William Cobbold (composer),William Cobbold,1560,1639,,Baroque
James Harding (composer),James Harding,1560,1626,,Baroque
Diomedes Cato,Diomedes Cato,c. 1560/1565,1618,,Baroque
Camillo Lambardi,Camillo Lambardi,c. 1560,1634,,Baroque
Giovanni Bernardino Nanino,Giovanni Bernardino Nanino,c. 1560,1623,,Baroque
Peter Philips,Peter Philips,c. 1560,1628,,Baroque
Hieronymus Praetorius,Hieronymus Praetorius,1560,1629,,Baroque
August Nörmiger,August Nörmiger,1560,1613,,Baroque
Thomas Robinson (composer),Thomas Robinson,1560,1610,,Baroque
Lodovico Grossi da Viadana,Lodovico Grossi da Viadana,c. 1560,1627,,Baroque
Scipione Dentice,Scipione Dentice,1560,1635,,Baroque
Carlo Gesualdo,Carlo Gesualdo,1560,1613,,Baroque
Ruggiero Giovannelli,Ruggiero Giovannelli,c. 1560,1625,,Baroque
Antonio II Verso,Antonio II Verso,1560,1621,,Baroque
Leone Leoni,Leone Leoni,1560,1627,,Baroque
Petrus de Drusina,Petrus de Drusina,1560,1611,,Baroque
Juan Esquivel Barahona,Juan Esquivel Barahona,1560,after 1625,,Baroque
Abraham Blondet,Abraham Blondet,1560,1634,,Baroque
Elias Mertel,Elias Mertel,1561,1626,,Baroque
Sebastian Aguilera de Heredia,Sebastian Aguilera de Heredia,1561,1627,,Baroque
Jacopo Peri,Jacopo Peri,1561,1633,,Baroque
Francesco Usper,Francesco Usper,1561,1641,,Baroque
John Bull (composer),John Bull,1562,1628,,Baroque
Jan Pieterszoon Sweelinck,Jan Pieterszoon Sweelinck,1562,1621,,Baroque
Andreas Raselius,Andreas Raselius,1562,1602,,Baroque
Jean Titelouze,Jean Titelouze,1562/1563,1633,,Baroque
John Dowland,John Dowland,1563,1626,,Baroque
Giles Farnaby,Giles Farnaby,c. 1563,1640,,Baroque
John Milton (composer),John Milton,1563,1647,,Baroque
Cornelis Verdonck,Cornelis Verdonck,1563,1625,,Baroque
John Danyel,John Danyel,1564,1626,,Baroque
Hans Leo Hassler,Hans Leo Hassler,1564,1612,,Baroque
Kryštof Harant z Polžic a Bezdružic,Kryštof Harant z Polžic a Bezdružic,1564,1621,,Baroque
Giulio Cesare Martinengo,Giulio Cesare Martinengo,1564/1568,1613,,Baroque
John Hilton the elder,John Hilton,1565,1609?,,Baroque
Michael Cavendish,Michael Cavendish,1565,1628,,Baroque
John Farmer (composer),John Farmer,1565,1605,,Baroque
George Kirbye,George Kirbye,1565,1634,,Baroque
William Leighton,William Leighton,1565,1622,,Baroque
Leonard Woodson,Leonard Woodson,1565,1641,,Baroque
Gregor Aichinger,Gregor Aichinger,c. 1565,1628,,Baroque
Duarte Lobo,Duarte Lobo,c. 1565,1646,,Baroque
Erasmo Marotta,Erasmo Marotta,1565,1641,,Baroque
Ascanio Mayone,Ascanio Mayone,c. 1565,1627,,Baroque
Giovanni Pietro Flaccomio,Giovanni Pietro Flaccomio,1565,1617,,Baroque
Simone Molinaro,Simone Molinaro,1565,1615,,Baroque
Francis Pilkington,Francis Pilkington,c. 1565,1638,,Baroque
Manuel Cardoso,Manuel Cardoso,1566,1650,,Baroque
Gaspar Fernandes,Gaspar Fernandes,1566,1629,,Baroque
Alessandro Piccinini,Alessandro Piccinini,1566,1638,,Baroque
Lucia Quinciani,Lucia Quinciani,c. 1566,,1611,Baroque
Thomas Campion,Thomas Campion,1567,1620,,Baroque
Christoph Demantius,Christoph Demantius,1567,1643,,Baroque
Jean-Baptiste Besard,Jean-Baptiste Besard,1567,1625,,Baroque
Nicolas Formé,Nicolas Formé,1567,1638,,Baroque
Girolamo Giacobbi,Girolamo Giacobbi,1567,1629,,Baroque
Joachim van den Hove,Joachim van den Hove,c. 1567,1620,,Baroque
René Mesangeau,René Mesangeau,,,1567–1638,Baroque
Lorenzo Allegri,Lorenzo Allegri,1567,1648,,Baroque
Claudio Monteverdi,Claudio Monteverdi,1567,1643,,Baroque
Bartolomeo Barbarino,Bartolomeo Barbarino,c. 1568,1617 or later,,Baroque
