article,name,birth,death,flourish,nationality,musical_scool,surviving_work,era
Notker_the_Stammerer,Notker the Stammerer (Notker Balbulus),c.840,912,,Frankish?,Abbey of Saint Gall,Three worksLiturgical sequences,Medieval
Tuotilo,Tuotilo,c.850,915,,Frankish,Abbey of Saint Gall,Five works,Medieval
Stephen_of_Liège,Stephen of Liège,c.850,920,,Belgian,–,Three works,Medieval
Hucbald,Hucbald,c.850,930,,Frankish,–,Five works,Medieval
Odo_of_Cluny,Odo of Cluny,c.878,942,,French,–,15 works 3 hymns and 12 antiphons (?),Medieval
Heriger_of_Lobbes,Heriger of Lobbes (Herigerus),c.925,1007,,Belgian,–,Four works,Medieval
Odo_of_Arezzo,Odo of Arezzo (Abbot Oddo),10th century,11th century,,Italian,–,4 worksantiphons from a tonary,Medieval
Fulbert_of_Chartres,Fulbert of Chartres,c.960,1028,,French,–,Three chants,Medieval
William_of_Volpiano,"William of Volpiano (William of Dijon, William of Saint Benignus)",962,1031,,Italian,–,One work? Office of St Benignus,Medieval
Notker_Physicus,Notker Physicus (Notker II),,975,,Frankish,Abbey of Saint Gall,Three works,Medieval
Adémar_de_Chabannes,Adémar de Chabannes,c.988/9,1034,,French,Saint Martial school,Two works (?) One office and mass,Medieval
Wulfstan_the_Cantor,Wulfstan the Cantor (Wulfstan of Winchester),,,992–6,English,–,Seven works; All uncertain attributions,Medieval
Wipo_of_Burgundy,Wipo of Burgundy,c.995,c.1050,,Frankish? (Arles/Burgundy),–,Victimae paschali laudes,Medieval
Arnold_of_Saint_Emmeram,Arnold of Saint Emmeram,c.1000,1050,,Benedictine,Saint Emmeram's Abbey,60 works; over 40 antiphons and 20 responsories,Medieval
Otloh_of_Sankt_Emmeram,Otloh of Sankt Emmeram,c.1010,1070,,Benedictine,Saint Emmeram's Abbey,"Exultemus in ista fratres, Kyrie O pater immense and chants",Medieval
Hermann_of_Reichenau,Hermann of ReichenauHermannus Contractus,1013,1054,,German,–,Two works,Medieval
Berno_of_Reichenau,Berno of Reichenau,before 1014,1048,,German?,–,Two works,Medieval
Godric_of_Finchale,Godric,c.1069,1170,,English,–,Three songs,Medieval
Adam_of_Saint_Victor,Adam of Saint Victor,c.1068,1146,,French,–,Four works,Medieval
"William_IX,_Duke_of_Aquitaine","William IX, Duke of Aquitaine (Guilhem de Peitieus;Guillaume d'Aquitaine)",1071,1126,,Occitan,Troubadour,One work; 11 poems total,Medieval
Peter_Abelard,Peter Abelard,1079,1142,,French,–,"Various chants, a hymn, three sequences and seven laments",Medieval
Hildegard_of_Bingen,Hildegard of Bingen,1098,1179,,German,–,72 works,Medieval
Jaufre_Rudel,Jaufre Rudel,,,1120–47,Occitan,Troubadour,Four works; six poems total,Medieval
Marcabru,Marcabru,,,c.1129–c1150,Occitan,Troubadour,Four works; 42 poems total,Medieval
Archpoet,Archpoet (Archipoeta),c.1130,c.1165,,Western European (probably French or German),Goliard,10 medieval Latin poems,Medieval
