article,name,birth,death,flourish,nationality,era,comment
Johannes_Tapissier,Johannes Tapissier (Jean de Noyers),c. 1370,before 1410,,French,Renaissance,
Nicolas_Grenon,Nicolas Grenon,c. 1375,1456,,French,Renaissance,
Pierre_Fontaine_(composer),Pierre Fontaine,c. 1380,c. 1450,,French,Renaissance,
Jacobus_Vide,Jacobus Vide,,,1405?-after 1433,Franco-Flemish,Renaissance,
Guillaume_Legrant,Guillaume Legrant (Lemarcherier),,,1405-after 1449,French,Renaissance,
John_Dunstaple,John Dunstaple (or Dunstable),c. 1390,1453,,English-Burgundian,Renaissance,
Guillaume_Dufay,Guillaume Dufay (Guillaume Du Fay),1397,1474,,French,Renaissance,
Johannes_Brassart,Johannes Brassart,c. 1400,1455,,Burgundian,Renaissance,
Johannes_Legrant,Johannes Legrant,,,c. 1420-after 1440,French or Burgundian,Renaissance,
Gilles_Binchois,Gilles Binchois (Gilles de Bins),c. 1400,1460,,Burgundian,Renaissance,
Hugo_de_Lantins,Hugo de Lantins,,,c. 1420-after 1430,Franco-Flemish,Renaissance,
Arnold_de_Lantins,Arnold de Lantins,,,1423-1431/1432,Netherlandish,Renaissance,
Reginaldus_Libert,Reginaldus Libert,,,c. 1425-after 1435,French,Renaissance,
Jean_Cousin_(composer),Jean Cousin,before 1425,after 1475,,French or Flemish,Renaissance,
Gilles_Joye,Gilles Joye,1424/1425,1483,,Franco-Flemish,Renaissance,
Guillaume_le_Rouge,Guillaume le Rouge,,,1450-after 1465,Netherlandish,Renaissance,
Robert_Morton_(composer),Robert Morton,c. 1430,1479,,English-Burgundian,Renaissance,
Antoine_Busnois,Antoine Busnois,c. 1430,1492,,French,Renaissance,
Adrien_Basin,Adrien Basin,,,1457-after 1498,Franco-Flemish,Renaissance,
Hayne_van_Ghizeghem,Hayne van Ghizeghem,c. 1445,after 1476,,Franco-Flemish,Renaissance,
Jean-Baptiste_Besard,Jean-Baptiste Besard,1567,1625,,Burgundian,Renaissance,
Robert Wilkinson (composer),Robert Wilkinson,c. 1450 , after 1515,,English,Renaissance,
John Browne (composer),John Browne,,,c. 1490,English,Renaissance,
Robert Hacomplaynt,Robert Hacomplaynt,c. 1456 , 1528,,English,Renaissance,
Robert Fayrfax,Robert Fayrfax,1464,1521,,English,Renaissance,
Richard Davy,Richard Davy,c. 1465 , c. 1507,,English,Renaissance,
William Cornysh,William Cornysh the younger,c. 1468 , 1523,,English,Renaissance,
Richard Sampson,Richard Sampson,c. 1470 , 1554,,English,Renaissance,
Robert Cowper,Robert Cowper,c. 1474,1535/1540,,English,Renaissance,
Thomas Ashewell,Thomas Ashewell,c. 1478,after 1513,,English,Renaissance,
Hugh Aston,Hugh Aston,c. 1485 , 1558,,English,Renaissance,
Nicholas Ludford,Nicholas Ludford,c. 1485 , 1557,,English,Renaissance,
Edmund Sturton,Edmund Sturton,,,late 15th – early 16th century,English,Renaissance,
John Redford,John Redford,c. 1486 , 1547,,English,Renaissance,
Thomas Appleby (composer),Thomas Appleby,c. 1488 , 1563,,English,Renaissance,
John Taverner,John Taverner,c. 1490 , 1545,,English,Renaissance,
Henry VIII of England,Henry VIII of England,1491,1547,,English,Renaissance,
Thomas Preston (composer),Thomas Preston,,c. 1563,,English,Renaissance,
Thomas Tallis,Thomas Tallis,c. 1505 , 1585,,English,Renaissance,
Christopher Tye,Christopher Tye,c. 1505 , ? 1572,,English,Renaissance,
John Merbecke,John Merbecke,c. 1510 , c. 1585,,English,Renaissance,
Osbert Parsley,Osbert Parsley,1511,1585,,English,Renaissance,
John Sheppard (composer),John Sheppard,c. 1515 , 1559,,English,Renaissance,
Edward Kyrton,Edward Kyrton,,,1540 to 1550,English,Renaissance,
John Black (composer),John Black,c. 1520 , 1587,,English,Renaissance,
Thomas Caustun,Thomas Caustun,c. 1520/1525,1569,,English,Renaissance,
John Blitheman,John Blitheman,c. 1525 , 1591,,English,Renaissance,
Richard Edwardes,Richard Edwardes,1525,1566,,English,Renaissance,
Thomas Whythorne,Thomas Whythorne,1528,1595,,English,Renaissance,
William Mundy (composer),William Mundy,1529,1591,,English,Renaissance,
Robert Parsons (composer),Robert Parsons,c. 1535 , 1572,,English,Renaissance,
Robert White (composer),Robert White,1538,1574,,English,Renaissance,
Clement Woodcock,Clement Woodcock,1540,1590,,English,Renaissance,
William Byrd,William Byrd,c. 1540 , 1623,,English,Renaissance,
Anthony Holborne,Anthony Holborne,c. 1545 , 1602,,English,Renaissance,
John Johnson (composer),John Johnson,c. 1545 , 1594,,English,Renaissance,
Francis Cutting,Francis Cutting,1550,1595/1596,,English,Renaissance,
Edmund Hooper (organist),Edmund Hooper,c. 1553 , 1621,,English,Renaissance,
