article,name,birth,death,nationality,era
Ludwig van Beethoven,Ludwig van Beethoven,1770,1827,German,Romantic-era
Ferdinando Carulli,Ferdinando Carulli,1770,1841,Italian,Romantic-era
Édouard Du Puy,Édouard Du Puy,1770,1822,Swiss,Romantic-era
Peter Hänsel,Peter Hänsel,1770,1831,German-Austrian,Romantic-era
James Hewitt (musician),James Hewitt,1770,1827,American,Romantic-era
Anton Reicha,Anton Reicha,1770,1836,Czech-French,Romantic-era
Christian Heinrich Rinck,Christian Heinrich Rinck,1770,1846,German,Romantic-era
Jan August Vitásek,Jan August Vitásek,1770,1839,Bohemian,Romantic-era
Friedrich Witt,Friedrich Witt,1770,1836,German,Romantic-era
Johann Baptist Cramer,Johann Baptist Cramer,1771,1858,English,Romantic-era
Ferdinando Paer,Ferdinando Paer,1771,1839,Italian,Romantic-era
Maria Frances Parke,Maria Frances Parke,1772,1822,English,Romantic-era
François-Louis Perne,François-Louis Perne,1772,1832,French,Romantic-era
Josef Triebensee,Josef Triebensee,1772,1846,Bohemian,Romantic-era
Johann Wilhelm Wilms,Johann Wilhelm Wilms,1772,1847,Dutch-German,Romantic-era
Sophie Bawr,Sophie Bawr,1773,1860,French,Romantic-era
Pietro Generali,Pietro Generali,1773,1832,Italian,Romantic-era
Wenzel Thomas Matiegka,Wenzel Thomas Matiegka,1773,1830,Czech,Romantic-era
Bartolomeo Bortolazzi,Bartolomeo Bortolazzi,1773,1820,Italian,Romantic-era
Pierre Rode,Pierre Rode,1774,1830,French,Romantic-era
Gaspare Spontini,Gaspare Spontini,1774,1851,Italian,Romantic-era
Václav Tomášek,Václav Tomášek,1774,1850,Czech,Romantic-era
Christoph Ernst Friedrich Weyse,Christoph Ernst Friedrich Weyse,1774,1842,Danish,Romantic-era
Johann Anton André,Johann Anton André,1775,1842,German,Romantic-era
François-Adrien Boieldieu,François-Adrien Boieldieu,1775,1834,French,Romantic-era
João Domingos Bomtempo,João Domingos Bomtempo,1775,1842,Portuguese,Romantic-era
Bernhard Crusell,Bernhard Crusell,1775,1838,Finnish,Romantic-era
