wikidata_id,name
Q303051,Aarre Merikanto
Q318407,Abel Decaux
Q716773,Achille Peri
Q350325,Adam Liszt
Q350933,Adam Sołtys
Q4107298,Adam Tadeusz Wieniawski
Q98066311,Addie Anderson Wilson
Q4681869,Adele aus der Ohe
Q15452779,Adelina de Lara
Q12835418,Adil Geray
Q12849874,Adila Huseynzade
Q360945,Adolf Bernhard Marx
Q15622894,Adolf Cabané i Pibernat
Q21191280,Adolf Hansen
Q4524609,Adolf Schiffer
Q4684179,Adolf Weidig
Q364533,Adolf Wiklund
Q5658135,Adolfo Salazar
Q4684407,Adolph Weiss
Q365701,Adolphe Claire Le Carpentier
Q365709,Adolphe Danhauser
Q2824870,Adolphe Marty
Q634623,Adolphe Nourrit
Q455934,Adriana Ferrarese del Bene
Q12836958,Aghabaji Rzayeva
Q61997412,Agostino Bendinelli
Q66580065,Alain Guélis
Q2636475,Alain Louvier
Q4709611,Albert Alan Owen
Q566825,Albert Becker
Q565548,Albert Dietrich
Q5746691,Albert Fuchs
Q324938,Albert Leman
Q597362,Albert Louis Wolff
Q94574227,Albert Noelte
Q2482314,Albert Rubenson
Q49349995,Albert de Vleeshouwer
Q118301791,Alberta d'Angeli Cattini
Q2623325,Alberto Grau
Q74849,Alberto Mazzucato
Q355738,Alejandro Planchart
Q9145413,Aleksander Glinkowski
Q4153589,Aleksandr Davidenko
Q29642189,Aleksandr Zhitomirsky
Q60695255,Aleksandre Shaverzashvili
Q11904863,Alessandro Busi
Q16181728,Alessandro Bustini
Q30745610,Alessandro Capece
Q1090996,Alessandro Parisotti
Q21091257,Alessandro Romano
Q3610323,Alessandro Speranza
Q66706177,Alex Weiser
Q877260,Alexander Fesca
Q1959615,Alexander Ilyinsky
Q4338440,Alexander Ossovsky
Q325751,Alexander Ritter
Q2012405,Alexander Schreiner
Q366536,Alexander Siloti
Q2642338,Alexander Villoing
Q1398704,Alexander Wilhelm Gottschalg
Q17104325,Alexander Wunderer
Q350359,Alexandre Guilmant
Q131626792,Alexandre Ribó i Vall
Q102283092,Alexandros Kalogeras
Q84148,Alfred Brendel
Q330244,Alfred Jaëll
Q2645362,Alfred La Liberté
Q55838257,Alfredo Soffredini
Q983962,Alfrēds Kalniņš
Q2835701,Algernon Ashton
Q1190960,Alice Mary Smith
Q42859258,Alicia Diaz de la Fuente
Q232255,Alicia de Larrocha
Q105107360,Alisa Sargsyan
Q55835957,Alonso de Cobaleda
Q2293342,Aloys Kunc
Q527514,Aloys Schmitt
Q50333026,Alphonse Leduc
Q460715,Alphonse Mailly
Q2648593,Amadeu Vives i Roig
Q273661,Amanda Röntgen-Maier
Q482177,Amédée Gastoué
Q24572429,Ana Sokolovic
Q487991,Anatoli Komarowski
Q4234723,Anatolii Kos-Anatolskyi
Q45294577,Anders Hultqvist
