name,wikidata_id,description,wikipedia_en
Adam Glasser,Q349499,South African jazz musician based in London,
Adam Gorb,Q131775524,,https://en.wikipedia.org/wiki/Adam_Gorb
Adam Liszt,Q350325,father of Franz Liszt,https://en.wikipedia.org/wiki/Adam_Liszt
Adelina de Lara,Q15452779,British musician (1872–1961),https://en.wikipedia.org/wiki/Adelina_de_Lara
Adolf Schiffer,Q4524609,Hungarian cellist (1873–1950),https://en.wikipedia.org/wiki/Adolf_Schiffer
Adolfo Salazar,Q5658135,Spanish music critic,https://en.wikipedia.org/wiki/Adolfo_Salazar
Adolphe Armand Bizet,Q20331356,French hairdresser and music educator,
Adolphe Nourrit,Q634623,French opera singer (1802-1839),https://en.wikipedia.org/wiki/Adolphe_Nourrit
Adriana Ferrarese del Bene,Q455934,opera singer,https://en.wikipedia.org/wiki/Adriana_Ferrarese_del_Bene
Agnes of Hesse-Kassel,Q394750,Princess consort of Anhalt-Dessau (1606-1650),https://en.wikipedia.org/wiki/Agnes_of_Hesse-Kassel
Agostino Bendinelli,Q61997412,,
Ahmet Zappa,Q401963,American musician,https://en.wikipedia.org/wiki/Ahmet_Zappa
Airat Ichmouratov,Q21063940,,https://en.wikipedia.org/wiki/Airat_Ichmouratov
Albert Noelte,Q94574227,,
Alberta d'Angeli Cattini,Q118301791,,
Alejandro Planchart,Q355738,American musicologist (1935–2019),https://en.wikipedia.org/wiki/Alejandro_Planchart
Aleksander Różycki,Q26244368,Polish pianist and teacher,
Aleksandŭr Vladigerov,Q12271433,Bulgarian pianist (1933–1993),
Alessandro Busi,Q11904863,,
Alexander Fesca,Q877260,German musician (1820-1849),https://en.wikipedia.org/wiki/Alexander_Fesca
Alexander Ossovsky,Q4338440,"Musicologist, Russian writer (1871-1957)",https://en.wikipedia.org/wiki/Alexander_Ossovsky
Alexander Schreiner,Q2012405,German organist (1901–1987),https://en.wikipedia.org/wiki/Alexander_Schreiner
Alexander Voltz,Q115765788,,https://en.wikipedia.org/wiki/Alexander_Voltz
Alexander Wunderer,Q17104325,Austrian musician,https://en.wikipedia.org/wiki/Alexander_Wunderer
Alexandre Ribó i Vall,Q131626792,,
Alfred Jaëll,Q330244,Austrian pianist (1832–1882),https://en.wikipedia.org/wiki/Alfred_Jaëll
Alfrēds Kalniņš,Q983962,Latvian musician (1879-1951),https://en.wikipedia.org/wiki/Alfrēds_Kalniņš
Ali Brezovský,Q12762134,,
Alicia de Larrocha,Q232255,Spanish-Catalan pianist (1923–2009),https://en.wikipedia.org/wiki/Alicia_de_Larrocha
Alissa Firsova,Q4727244,Russian-British musician,https://en.wikipedia.org/wiki/Alissa_Firsova
Alonso de Cobaleda,Q55835957,,
Alphonse Leduc,Q50333026,French musician and publisher,
Amanda Röntgen-Maier,Q273661,Swedish musician (1853–1894),https://en.wikipedia.org/wiki/Amanda_Röntgen-Maier
Amaury du Closel,Q455908,,https://en.wikipedia.org/wiki/Amaury_du_Closel
Amelia Załuska,Q11685622,painter (1805-1858),
Anders Rachlew,Q19753833,,
